335/18:25:52,IN USE,6599,0.42,0.01,35.09,29
335/18:25:53,IN USE,6599,0.43,0.01,35.132,29
335/18:25:54,IN USE,6599,0.43,0.01,35.15,29
335/18:25:55,IN USE,6599,0.43,0.011,35.15,29
335/18:25:56,IN USE,6598,0.43,0.011,35.178,29
335/18:25:57,IN USE,6598,0.43,0.011,35.358,29
335/18:25:58,IN USE,6598,0.44,0.011,35.417,29
335/18:25:59,IN USE,6598,0.44,0.012,35.44,29
335/18:26:00,IN USE,6598,0.44,0.012,35.499,29
335/18:26:01,IN USE,6598,0.46,0.012,35.6,29
335/18:26:02,IN USE,6598,0.46,0.012,35.679,29
335/18:26:03,IN USE,6597,0.47,0.012,35.851,29
335/18:26:04,IN USE,6597,0.47,0.012,35.887,29
335/18:26:05,IN USE,6597,0.48,0.013,35.954,29
335/18:26:06,IN USE,6597,0.48,0.013,36.031,29
335/18:26:07,IN USE,6597,0.48,0.013,36.08,29
335/18:26:08,IN USE,6597,0.48,0.013,36.168,29
335/18:26:09,IN USE,6596,0.49,0.014,36.311,29
335/18:26:10,IN USE,6596,0.49,0.014,36.431,29
335/18:26:12,IN USE,6596,0.49,0.014,36.548,29
335/18:26:13,IN USE,6595,0.49,0.014,36.65,29
335/18:26:14,IN USE,6595,0.5,0.014,36.701,29
335/18:26:15,IN USE,6595,0.5,0.015,36.795,29
335/18:26:16,IN USE,6594,0.51,0.015,36.827,29
335/18:26:17,IN USE,6594,0.51,0.015,36.847,29
335/18:26:18,IN USE,6593,0.51,0.015,36.874,29
335/18:26:20,IN USE,6593,0.55,0.015,37.005,29
335/18:26:21,IN USE,6593,0.56,0.015,37.037,29
335/18:26:22,IN USE,6593,0.56,0.016,37.123,29
335/18:26:23,IN USE,6592,0.57,0.016,37.196,29
335/18:26:24,IN USE,6591,0.57,0.016,37.224,29
335/18:26:25,IN USE,6591,0.57,0.016,37.315,29
335/18:26:26,IN USE,6591,0.57,0.016,37.405,29
335/18:26:27,IN USE,6590,0.57,0.016,37.434,29
335/18:26:28,IN USE,6590,0.58,0.016,37.482,29
335/18:26:29,IN USE,6590,0.58,0.017,37.562,29
335/18:26:30,IN USE,6589,0.59,0.017,37.584,29
335/18:26:31,IN USE,6588,0.59,0.017,37.592,29
335/18:26:32,IN USE,6587,0.59,0.018,37.705,29
335/18:26:33,IN USE,6587,0.59,0.019,37.8,29
335/18:26:34,IN USE,6587,0.6,0.02,37.851,29
335/18:26:35,IN USE,6586,0.6,0.02,37.878,29
335/18:26:36,IN USE,6586,0.6,0.02,37.988,29
335/18:26:37,IN USE,6586,0.6,0.02,38.244,29
335/18:26:38,IN USE,6585,0.61,0.02,38.245,29
335/18:26:39,IN USE,6585,0.61,0.021,38.345,29
335/18:26:40,IN USE,6585,0.62,0.021,38.507,29
335/18:26:41,IN USE,6583,0.62,0.021,38.682,29
335/18:26:42,IN USE,6583,0.63,0.021,38.802,29
335/18:26:43,IN USE,6582,0.64,0.021,38.941,29
